,ts,price,volume,vwap,ma1,cross1,cross2,lower,upper,profit,profit_max,drawdown,dd_ratio,n_minus,warmup
2026-02-25 09:02:55,1771977775.4238179,369.1,1694900.0,368.7720913197412,369.07666666666626,0.0,0.0,368.29999999999995,369.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:57,1771977777.4237132,369.0,1697000.0,368.7726741354116,369.05333333333294,0.0,0.0,368.29999999999995,369.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:59,1771977779.4526167,369.1,1699100.0,368.77350904894934,369.0466666666663,0.0,0.0,368.29999999999995,369.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:01,1771977781.454671,369.1,1702300.0,368.7747731397459,369.0366666666663,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:03,1771977783.4581444,369.0,1705000.0,368.77550651230104,369.02666666666636,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:05,1771977785.4738884,369.1,1706900.0,368.7762483455661,369.01666666666637,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:07,1771977787.482738,369.1,1711900.0,368.7781844277,369.0099999999997,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:09,1771977789.4735231,369.4,1735500.0,368.7952541584274,369.0066666666664,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:11,1771977791.4939659,369.5,1738100.0,368.79737910240055,369.0099999999997,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:13,1771977793.4907765,369.5,1738100.0,368.79737910240055,369.0166666666664,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:15,1771977795.5009372,369.6,1738600.0,368.79784422809456,369.02333333333314,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:17,1771977797.5028617,369.7,1741800.0,368.8011778290993,369.0433333333331,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:19,1771977799.5086048,369.7,1771800.0,368.83127232142857,369.06333333333316,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:21,1771977801.514477,369.7,1774900.0,368.83426760093425,369.08999999999986,0.0,0.0,368.5999999999999,369.4000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:23,1771977803.503657,369.7,1774900.0,368.83426760093425,369.1199999999999,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:25,1771977805.5089262,369.7,1774900.0,368.83426760093425,369.1499999999999,0.0,0.0,367.99999999999994,370.40000000000003,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:27,1771977807.5024421,369.8,1775700.0,368.835126125125,369.17999999999995,0.0,0.0,367.99999999999994,370.40000000000003,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:29,1771977809.5023644,370.1,1926600.0,369.01676817662735,369.2166666666666,0.0,0.0,367.8499999999999,370.6500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:31,1771977811.5148442,370.2,1929700.0,369.02024860043645,369.2566666666666,0.0,0.0,367.69999999999993,370.9,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:33,1771977813.5294347,370.1,1931000.0,369.0215788476118,369.2933333333333,0.0,0.0,367.69999999999993,370.9,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:35,1771977815.5307555,370.1,1931000.0,369.0215788476118,369.3333333333333,0.0,0.0,367.95000000000005,370.75,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:37,1771977817.5310218,370.0,2092200.0,369.15124136797107,369.37,0.0,0.0,367.95000000000005,370.75,0.0,0.0,0.0,0.0,0.0,1.0
