,ts,price,ma1,ma2,vwap,momentum,profit,profit_max,dd_ratio,diff_ma,diff_vwap,n_trade,count_negative,ma_gc,ma_dc,vwap_gc,vwap_dc,warmup
2026-07-13 12:36:03,1783913763.971354,6305.0,6304.596575805147,6334.9366666666665,6406.530643501847,0.2821510893433134,0.0,0.0,0.0,-0.004789328206099318,-0.015910962324061032,0,0,False,False,False,False,0.0
2026-07-13 12:36:05,1783913765.9984272,6305.0,6304.657089434375,6334.918888888889,6406.529456467095,0.2927114365120455,0.0,0.0,0.0,-0.004776982939369909,-0.01590133436909191,0,0,False,False,False,False,0.0
2026-07-13 12:36:08,1783913768.0102556,6303.0,6304.258526019219,6334.898888888889,6406.504447500789,0.3129607024633837,0.0,0.0,0.0,-0.004836756419808307,-0.015959705065288227,0,0,False,False,False,False,0.0
2026-07-13 12:36:10,1783913770.0039372,6302.0,6303.7697471163365,6334.8788888888885,6406.498747443265,0.3530329192340272,0.0,0.0,0.0,-0.004910771353042932,-0.016035123766772876,0,0,False,False,False,False,0.0
2026-07-13 12:36:12,1783913772.0093389,6304.0,6303.804285048886,6334.862222222222,6406.4831758299115,0.3477438450270844,0.0,0.0,0.0,-0.004902701287549193,-0.01602734104858143,0,0,False,False,False,False,0.0
2026-07-13 12:36:14,1783913774.0027182,6305.0,6303.983642291553,6334.85,6406.47606063911,0.33421204416592765,0.0,0.0,0.0,-0.004872468599642792,-0.015998251983998235,0,0,False,False,False,False,0.0
2026-07-13 12:36:16,1783913776.0170593,6304.0,6303.91109594782,6334.843333333333,6406.473665760425,0.32645343839337887,0.0,0.0,0.0,-0.004882873302130539,-0.016009208054776455,0,0,False,False,False,False,0.0
2026-07-13 12:36:18,1783913778.0335164,6306.0,6304.449431555648,6334.84,6406.458796772284,0.3001702052220548,0.0,0.0,0.0,-0.004797369538039246,-0.0159228941374025,0,0,False,False,False,False,0.0
2026-07-13 12:36:20,1783913780.0477405,6305.0,6304.7570168223,6334.835555555555,6406.453660398226,0.2700999895479113,0.0,0.0,0.0,-0.004748116737912301,-0.015874093370029065,0,0,False,False,False,False,0.0
2026-07-13 12:36:22,1783913782.0551586,6305.0,6304.868464298955,6334.83,6406.451685008216,0.26503956938366147,0.0,0.0,0.0,-0.004729651103667383,-0.01585639378924488,0,0,False,False,False,False,0.0
2026-07-13 12:36:24,1783913784.0526726,6305.0,6304.888194654111,6334.82,6406.445364277092,0.27252645515845686,0.0,0.0,0.0,-0.00472496540483996,-0.015852343046468893,0,0,False,False,False,False,0.0
2026-07-13 12:36:26,1783913786.0650742,6307.0,6305.4299654559945,6334.812222222222,6406.431425834936,0.2687788519535689,0.0,0.0,0.0,-0.004638220634726277,-0.015765635135285644,0,0,False,False,False,False,0.0
2026-07-13 12:36:28,1783913788.0712097,6307.0,6305.7404706375955,6334.801111111111,6406.426780555794,0.2706557593852294,0.0,0.0,0.0,-0.0045874590162812865,-0.015716453706111532,0,0,False,False,False,False,0.0
2026-07-13 12:36:30,1783913790.0645702,6305.0,6305.629400041957,6334.791111111111,6406.408619562171,0.27318157925512954,0.0,0.0,0.0,-0.0046034211006587035,-0.01573100086255536,0,0,False,False,False,False,0.0
2026-07-13 12:36:32,1783913792.0721645,6303.0,6305.084990035663,6334.778888888889,6406.396545416333,0.2808812421702042,0.0,0.0,0.0,-0.004687440457520671,-0.01581412493941792,0,0,False,False,False,False,0.0
2026-07-13 12:36:34,1783913794.0667832,6301.0,6304.172241530314,6334.762222222223,6406.364558853283,0.29417794469454484,0.0,0.0,0.0,-0.004828907482051922,-0.01595168623080372,0,0,False,False,False,False,0.0
2026-07-13 12:36:36,1783913796.0751512,6301.0,6303.246405300767,6334.747777777778,6406.36291904006,0.27764177194525375,0.0,0.0,0.0,-0.004972790327582898,-0.016095952577526447,0,0,False,False,False,False,0.0
2026-07-13 12:36:38,1783913798.0718575,6303.0,6302.909444505652,6334.733333333334,6406.358093281666,0.25394099383467916,0.0,0.0,0.0,-0.005023714046528964,-0.016147809296595598,0,0,False,False,False,False,0.0
2026-07-13 12:36:40,1783913800.0840132,6301.0,6302.323027829804,6334.7155555555555,6406.354404229741,0.24208273329192306,0.0,0.0,0.0,-0.00511349364334804,-0.016238779473588087,0,0,False,False,False,False,0.0
2026-07-13 12:36:42,1783913802.0939114,6301.0,6301.974573655333,6334.698888888889,6406.349076055242,0.22846028726905998,0.0,0.0,0.0,-0.0051658833051961795,-0.016292353282780902,0,0,False,False,False,False,0.0
2026-07-13 12:36:44,1783913804.0856197,6301.0,6301.828387607034,6334.682222222223,6406.336782324568,0.21816561931411937,0.0,0.0,0.0,-0.005186342970755025,-0.016313284528824457,0,0,False,False,False,False,0.0
2026-07-13 12:36:46,1783913806.092426,6300.0,6301.479129465979,6334.664444444445,6406.335541439924,0.22099087478033652,0.0,0.0,0.0,-0.0052386855325177355,-0.01636761160817636,0,0,False,False,False,False,0.0
2026-07-13 12:36:48,1783913808.0826705,6298.0,6300.582260046082,6334.643333333333,6406.287522793812,0.2363526985432665,0.0,0.0,0.0,-0.005376952023173788,-0.016500237051744297,0,0,False,False,False,False,0.0
