,ts,price,ma1,ma2,vwap,momentum,profit,profit_max,dd_ratio,diff_ma,diff_vwap,n_trade,count_negative,vwap_gc,vwap_dc,warmup
2026-06-03 14:15:49,1780463749.4674149,8324.0,8318.3,8335.411666666667,8370.064426764695,-25.83333333333394,-10.0,1.0,0.0,0,-0.6184471722722958,0,21,False,False,0.0
2026-06-03 14:15:51,1780463751.4563286,8324.0,8318.666666666666,8335.396666666667,8370.06297493709,-25.30000000000109,-10.0,1.0,0.0,0,-0.6140492422138486,0,22,False,False,0.0
2026-06-03 14:15:53,1780463753.4601734,8325.0,8319.033333333333,8335.386666666667,8370.061704209933,-24.80000000000109,-11.0,1.0,0.0,0,-0.6096534611081074,0,23,False,False,0.0
2026-06-03 14:15:55,1780463755.4631503,8324.0,8319.366666666667,8335.373333333333,8370.061016572423,-24.33333333333394,-10.0,1.0,0.0,0,-0.605662847682748,0,24,False,False,0.0
2026-06-03 14:15:57,1780463757.470321,8324.0,8319.733333333334,8335.355,8370.059717757586,-23.799999999999272,-10.0,1.0,0.0,0,-0.6012667307197522,0,25,False,False,0.0
2026-06-03 14:15:59,1780463759.485687,8325.0,8320.1,8335.338333333333,8370.05964301768,-23.266666666666424,-11.0,1.0,0.0,0,-0.596885149550342,0,26,False,False,0.0
2026-06-03 14:16:01,1780463761.4868085,8322.0,8320.366666666667,8335.315,8370.048565070163,-22.83333333333394,-8.0,1.0,0.0,0,-0.5935676240975284,0,27,False,False,0.0
2026-06-03 14:16:03,1780463763.4885845,8322.0,8320.666666666666,8335.291666666666,8370.044820444622,-22.5,-8.0,1.0,0.0,0,-0.5899389410358373,0,28,False,False,0.0
2026-06-03 14:16:05,1780463765.5077882,8322.0,8320.966666666667,8335.266666666666,8370.044501780038,-22.233333333333576,-8.0,1.0,0.0,0,-0.5863509459589267,0,29,False,False,0.0
2026-06-03 14:16:07,1780463767.527136,8324.0,8321.3,8335.241666666667,8370.03992127825,-21.96666666666715,-10.0,1.0,0.0,0,-0.582314083763745,0,30,False,False,0.0
2026-06-03 14:16:09,1780463769.5464694,8325.0,8321.633333333333,8335.218333333334,8370.039771926538,-21.733333333333576,-11.0,1.0,0.0,0,-0.5783298516162656,0,31,False,False,0.0
2026-06-03 14:16:11,1780463771.5341666,8325.0,8321.966666666667,8335.193333333333,8370.037233098961,-21.5,-11.0,1.0,0.0,0,-0.5743172353188709,0,32,False,False,0.0
2026-06-03 14:16:13,1780463773.5395224,8324.0,8322.166666666666,8335.17,8370.036546183408,-21.5,-10.0,1.0,0.0,0,-0.571919599784422,0,33,False,False,0.0
2026-06-03 14:16:15,1780463775.5446174,8323.0,8322.366666666667,8335.141666666666,8370.036234262732,-21.399999999999636,-9.0,1.0,0.0,0,-0.5695264185467938,0,34,False,False,0.0
2026-06-03 14:16:17,1780463777.550033,8324.0,8322.566666666668,8335.116666666667,8370.035165782494,-21.299999999999272,-10.0,1.0,0.0,0,-0.56712424948801,0,35,False,False,0.0
2026-06-03 14:16:19,1780463779.5585237,8324.0,8322.733333333334,8335.091666666667,8370.034707877574,-21.5,-10.0,1.0,0.0,0,-0.5651275794558182,0,36,False,False,0.0
2026-06-03 14:16:21,1780463781.5652585,8324.0,8323.0,8335.066666666668,8370.03356315513,-21.53333333333285,-10.0,1.0,0.0,0,-0.5619280114021453,0,37,False,False,0.0
2026-06-03 14:16:23,1780463783.5830762,8323.0,8323.166666666666,8335.041666666666,8370.033095335586,-21.66666666666788,-9.0,1.0,0.0,0,-0.559931222912816,0,38,False,False,0.0
2026-06-03 14:16:25,1780463785.5908294,8323.0,8323.333333333334,8335.016666666666,8370.032081758503,-21.766666666666424,-9.0,1.0,0.0,0,-0.5579279502039649,0,39,False,False,0.0
2026-06-03 14:16:27,1780463787.595551,8323.0,8323.433333333332,8334.991666666667,8370.030210654042,-21.866666666666788,-9.0,1.0,0.0,0,-0.5567109812984592,0,40,False,False,0.0
2026-06-03 14:16:29,1780463789.60784,8323.0,8323.5,8334.97,8370.029976776452,-22.100000000000364,-9.0,1.0,0.0,0,-0.5559117100602295,0,41,False,False,0.0
2026-06-03 14:16:31,1780463791.6096232,8323.0,8323.566666666668,8334.95,8370.029586985638,-22.233333333331757,-9.0,1.0,0.0,0,-0.5551105863617823,0,42,False,False,0.0
2026-06-03 14:16:33,1780463793.6120424,8326.0,8323.7,8334.933333333332,8370.021997891861,-22.366666666666788,-12.0,1.0,0.0,0,-0.5534274330883185,0,43,False,False,0.0
2026-06-03 14:16:35,1780463795.6269748,8325.0,8323.766666666666,8334.913333333334,8370.020878667397,-22.53333333333285,-11.0,1.0,0.0,0,-0.5526176418343087,0,44,False,False,0.0
2026-06-03 14:16:37,1780463797.642611,8326.0,8323.9,8334.898333333333,8370.0186171535,-22.633333333333212,-12.0,1.0,0.0,0,-0.5509977846284064,0,45,False,False,0.0
2026-06-03 14:16:39,1780463799.6558762,8328.0,8324.033333333333,8334.886666666667,8370.011167648945,-22.733333333333576,-14.0,1.0,0.0,0,-0.5493162839892235,0,46,False,False,0.0
2026-06-03 14:16:41,1780463801.6566517,8329.0,8324.2,8334.876666666667,8370.011031744849,-22.766666666666424,-15.0,1.0,0.0,0,-0.5473234332798507,0,47,False,False,0.0
2026-06-03 14:16:43,1780463803.6710846,8329.0,8324.366666666667,8334.868333333334,8370.010895841653,-22.799999999999272,-15.0,1.0,0.0,0,-0.5453305825164823,0,48,False,False,0.0
2026-06-03 14:16:45,1780463805.683876,8329.0,8324.533333333333,8334.858333333334,8370.009468912474,-22.733333333333576,-15.0,1.0,0.0,0,-0.543322391068338,0,49,False,False,0.0
2026-06-03 14:16:47,1780463807.6851037,8329.0,8324.7,8334.848333333333,8370.008381794987,-22.766666666666424,-15.0,1.0,0.0,0,-0.5413182368315601,0,50,False,False,0.0
2026-06-03 14:16:49,1780463809.6907086,8332.0,8324.966666666667,8334.845,8369.997238909677,-22.66666666666606,-18.0,1.0,0.0,0,-0.5379998458503114,0,51,False,False,0.0
2026-06-03 14:16:51,1780463811.7114718,8332.0,8325.233333333334,8334.843333333334,8369.994092385356,-22.566666666665697,-18.0,1.0,0.0,0,-0.5347764712611123,0,52,False,False,0.0
2026-06-03 14:16:53,1780463813.7218418,8332.0,8325.466666666667,8334.841666666667,8369.993274374388,-22.466666666665333,-18.0,1.0,0.0,0,-0.5319790141772771,0,53,False,False,0.0
2026-06-03 14:16:55,1780463815.7257652,8331.0,8325.7,8334.84,8369.993080639204,-22.399999999999636,-17.0,1.0,0.0,0,-0.5291889755758395,0,54,False,False,0.0
2026-06-03 14:16:57,1780463817.7260537,8331.0,8325.933333333332,8334.838333333333,8369.992241142316,-22.366666666666788,-17.0,1.0,0.0,0,-0.5263912622572551,0,55,False,False,0.0
2026-06-03 14:16:59,1780463819.7254052,8332.0,8326.166666666666,8334.838333333333,8369.992178223232,-22.30000000000109,-18.0,1.0,0.0,0,-0.5236027779164473,0,56,False,False,0.0
2026-06-03 14:17:01,1780463821.7230098,8333.0,8326.533333333333,8334.84,8369.979072612621,-22.100000000000364,-19.0,1.0,0.0,0,-0.5190662832293926,0,57,False,False,0.0
2026-06-03 14:17:03,1780463823.721095,8330.0,8326.8,8334.828333333333,8369.976623879698,-22.0,-16.0,1.0,0.0,0,-0.5158511883595389,0,58,False,False,0.0
2026-06-03 14:17:05,1780463825.734455,8329.0,8327.033333333333,8334.815,8369.976488213482,-21.83333333333394,-15.0,1.0,0.0,0,-0.5130618340520021,0,59,False,False,0.0
2026-06-03 14:17:07,1780463827.7322857,8331.0,8327.266666666666,8334.805,8369.97410104334,-21.700000000000728,-17.0,1.0,0.0,0,-0.5102457171444631,0,60,False,False,0.0
2026-06-03 14:17:09,1780463829.7221193,8330.0,8327.433333333332,8334.793333333333,8369.97390253592,-21.63333333333503,-16.0,1.0,0.0,0,-0.5082521128255625,0,61,False,False,0.0
2026-06-03 14:17:11,1780463831.7231457,8330.0,8327.6,8334.783333333333,8369.973505526992,-21.633333333333212,-16.0,1.0,0.0,0,-0.5062561488278425,0,62,False,False,0.0
2026-06-03 14:17:13,1780463833.741921,8330.0,8327.8,8334.771666666667,8369.97165292293,-21.5,-16.0,1.0,0.0,0,-0.503844632594468,0,63,False,False,0.0
2026-06-03 14:17:15,1780463835.7455688,8329.0,8328.0,8334.76,8369.97104258288,-21.366666666666788,-15.0,1.0,0.0,0,-0.5014478827865576,0,64,False,False,0.0
2026-06-03 14:17:17,1780463837.7526262,8330.0,8328.2,8334.75,8369.970314843074,-21.133333333333212,-16.0,1.0,0.0,0,-0.49904973699846217,0,65,False,False,0.0
2026-06-03 14:17:19,1780463839.768663,8329.0,8328.366666666667,8334.736666666666,8369.970247031075,-20.700000000000728,-15.0,1.0,0.0,0,-0.497057685230905,0,66,False,False,0.0
2026-06-03 14:17:21,1780463841.7749112,8330.0,8328.566666666668,8334.723333333333,8369.96879163584,-20.33333333333212,-16.0,1.0,0.0,0,-0.49465088819143127,0,67,False,False,0.0
